id_tm|jugador|club|clubtm|ano|foto_url|competencia|partidos_jugados|titularidades|ppp|goles|asistencias|tarjetas_amarillas|tarjeta_amarilla_roja|tarjetas_rojas|entrada_suplente|salida_suplente|penaltis_anotados|goles_en_contra|partidos_imbatido|min_por_gol|minutos_jugados|datos_disponibles|fuente|temporada|fecha_carga
94359|Carlos Cáceda|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/94359-1678473743.jpg?lm=1|Liga 1 Clausura|9|5|1.4|0|0|0|0|0|0|0|0|9|2|0|450|True|Transfermarkt|2020|2026-06-30 04:39:12
94359|Carlos Cáceda|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/94359-1678473743.jpg?lm=1|Liga 1 Apertura|14|13|1.23|0|0|0|0|0|0|0|0|17|4|0|1170|True|Transfermarkt|2020|2026-06-30 04:39:12
257991|Ángelo Campos|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/257991-1777823262.jpg?lm=1|Liga 1 Clausura|9|4|1.5|0|0|0|0|0|0|0|0|5|1|0|360|True|Transfermarkt|2020|2026-06-30 04:39:12
257991|Ángelo Campos|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/257991-1777823262.jpg?lm=1|Liga 1 Apertura|18|6|2.0|0|0|0|1|0|0|0|0|3|3|0|540|True|Transfermarkt|2020|2026-06-30 04:39:12
785133|Jorge Cabezudo|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/785133-1678473694.jpg?lm=1|Liga 1 Clausura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2020|2026-06-30 04:39:12
785133|Jorge Cabezudo|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/785133-1678473694.jpg?lm=1|Liga 1 Apertura|6|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2020|2026-06-30 04:39:12
26801|Hernán Pellerano|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/s_26801_3302_2012_3.jpg?lm=1|Liga 1 Clausura|4|4|1.0|0|0|1|0|0|1|1|0|0|0|0|232|True|Transfermarkt|2020|2026-06-30 04:39:12
26801|Hernán Pellerano|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/s_26801_3302_2012_3.jpg?lm=1|Liga 1 Apertura|12|11|1.91|1|0|3|0|0|0|0|0|0|0|990|990|True|Transfermarkt|2020|2026-06-30 04:39:12
375178|Paolo Fuentes|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/375178-1739233762.jpg?lm=1|Liga 1 Clausura|4|3|1.0|1|0|1|0|0|1|0|0|0|0|230|230|True|Transfermarkt|2020|2026-06-30 04:39:12
375178|Paolo Fuentes|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/375178-1739233762.jpg?lm=1|Liga 1 Apertura|8|8|1.0|0|0|3|0|2|0|0|0|0|0|0|652|True|Transfermarkt|2020|2026-06-30 04:39:12
423774|Jeremy Salas|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/423774-1717456252.jpg?lm=1|Liga 1 Clausura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2020|2026-06-30 04:39:12
423774|Jeremy Salas|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/423774-1717456252.jpg?lm=1|Liga 1 Apertura|1|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2020|2026-06-30 04:39:12
621029|Alec Deneumostier|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/621029-1678473964.jpg?lm=1|Liga 1 Clausura|8|8|1.63|0|0|1|0|0|0|1|0|0|0|0|712|True|Transfermarkt|2020|2026-06-30 04:39:12
621029|Alec Deneumostier|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/621029-1678473964.jpg?lm=1|Liga 1 Apertura|16|9|1.56|0|0|4|0|0|1|1|0|0|0|0|712|True|Transfermarkt|2020|2026-06-30 04:39:12
831138|Matías Lazo|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/831138-1678474013.jpg?lm=1|Liga 1 Clausura|1|1|0.0|0|0|0|0|0|0|0|0|0|0|0|90|True|Transfermarkt|2020|2026-06-30 04:39:12
655639|Paolo Reyna|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/655639-1770730747.jpg?lm=1|Liga 1 Clausura|7|7|1.43|0|0|3|0|0|0|1|0|0|0|0|585|True|Transfermarkt|2020|2026-06-30 04:39:12
655639|Paolo Reyna|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/655639-1770730747.jpg?lm=1|Liga 1 Apertura|12|11|1.55|0|1|1|0|0|0|1|0|0|0|0|984|True|Transfermarkt|2020|2026-06-30 04:39:12
390609|Eduardo Rabanal|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/390609-1705509283.JPG?lm=1|Liga 1 Clausura|3|2|0.0|0|0|0|0|1|0|1|0|0|0|0|103|True|Transfermarkt|2020|2026-06-30 04:39:12
390609|Eduardo Rabanal|FBC Melgar|2734|2020|https://img.a.transfermarkt.technology/portrait/header/390609-1705509283.JPG?lm=1|Liga 1 Apertura|10|6|1.33|0|0|2|0|0|0|2|0|0|0|0|481|True|Transfermarkt|2020|2026-06-30 04:39:12
