ano|club|numero|jugador|posicion|fecha_nacimiento|nacionalidad|altura|pie|fecha_fichaje|valor_mercado|id_tm|slug_tm|foto_url|verein_id_tm|fuente|temporada|fecha_carga
2024|Club Sporting Cristal|13|Alejandro Duarte|Portero|05/04/1994 (28)|Perú, Alemania|1,82m|Derecho|13/01/2021|700000|158515|alejandro-duarte|https://img.a.transfermarkt.technology/portrait/header/158515-1776886037.jpg?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|12|Renato Solís|Portero|28/01/1998 (24)|Perú|1,88m|Derecho|01/01/2019|425000|439069|renato-solis|https://img.a.transfermarkt.technology/portrait/header/439069-1770127602.png?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|31|Diego Enríquez|Portero|24/01/2002 (20)|Perú|1,85m|Derecho|01/01/2022|425000|662693|diego-enriquez|https://img.a.transfermarkt.technology/portrait/header/662693-1770126645.png?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|1|Matías Córdova|Portero|06/05/2002 (20)|Perú|1,95m|Derecho|01/01/2021|125000|805148|matias-cordova|https://img.a.transfermarkt.technology/portrait/header/805148-1778162609.jpg?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|33|César Bautista|Portero|16/01/2007 (15)|Perú|1,93m|Derecho|01/01/2025|-|1239934|cesar-bautista|https://img.a.transfermarkt.technology/portrait/header/1239934-1770125897.png?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|14|Ignácio|Defensa central|01/12/1996 (26)|Brasil|1,90m|Derecho|02/01/2023|900000|624291|ignacio|https://img.a.transfermarkt.technology/portrait/header/624291-1721252131.jpg?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|4|Gianfranco Chávez|Defensa central|10/08/1998 (24)|Perú|1,78m|Derecho|01/01/2017|800000|441727|gianfranco-chavez|https://img.a.transfermarkt.technology/portrait/header/441727-1776885913.jpg?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|5|Rafael Lutiger|Defensa central|03/07/2001 (21)|Perú, Suiza|1,87m|Izquierdo|01/01/2019|575000|665112|rafael-lutiger|https://img.a.transfermarkt.technology/portrait/header/665112-1770127174.png?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|21|Franco Romero|Defensa central|11/02/1995 (27)|Uruguay|1,87m|Derecho|22/07/2024|300000|325454|franco-romero|https://img.a.transfermarkt.technology/portrait/header/325454-1721946738.jpeg?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
2024|Club Sporting Cristal|32|Leonardo Díaz|Defensa central|19/03/2004 (18)|Perú|1,85m|Izquierdo|01/01/2022|150000|908423|leonardo-diaz|https://img.a.transfermarkt.technology/portrait/header/908423-1770126503.png?lm=1|1450|Transfermarkt|2024|2026-06-30 17:50:34
