ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2026|Universitario de Deportes|32|28.0|10|441 mil €|14,13 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Club Alianza Lima|30|28.1|8|430 mil €|12,90 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Club Sporting Cristal|36|25.2|7|355 mil €|12,78 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|FBC Melgar|33|26.5|10|328 mil €|10,84 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Cusco FC|27|28.3|7|306 mil €|8,28 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Sport Boys Association|35|26.8|9|212 mil €|7,43 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Deportivo Garcilaso|27|27.1|6|256 mil €|6,90 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Comerciantes Unidos|29|26.6|7|236 mil €|6,85 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Club Cienciano|27|27.9|10|252 mil €|6,80 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Alianza Atlético Sullana|28|27.0|9|231 mil €|6,48 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Asociación Deportiva Tarma|33|27.9|7|188 mil €|6,21 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Sport Huancayo|26|29.9|7|231 mil €|6,00 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Club Juan Pablo II College|28|26.1|7|183 mil €|5,13 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|FC Cajamarca|30|28.6|11|170 mil €|5,10 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|CD Los Chankas|25|28.6|8|204 mil €|5,10 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Universidad Técnica de Cajamarca|23|28.9|8|221 mil €|5,08 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Club Atlético Grau|27|26.9|7|187 mil €|5,05 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
2026|Deportivo Moquegua|29|27.5|7|151 mil €|4,38 mill. €|Transfermarkt|2026|2026-06-12 13:49:04
